,words,polarity_score,count_up,count_down,total
99,취지/NNG,0.7041400290736751,60.0,118.0,178.0
100,무섭/VA,0.2967447265381916,3.0,14.0,17.0
101,물가/NNG;둔화/NNG,0.6736907305191379,36.0,74.0,110.0
102,국채선물/NNG;강세/NNG,0.5539234895379578,8.0,20.0,28.0
103,부임/NNG,0.3077352719655321,4.0,18.0,22.0
104,세미나/NNG,0.4945745442303194,30.0,84.0,114.0
105,배럴/NNG,0.6849189093611235,183.0,370.0,553.0
106,자금/NNG;유출/NNG;확대/NNG,0.7553502130063061,6.0,11.0,17.0
107,하락/NNG;내리/VV,0.2517834043354354,4.0,22.0,26.0
108,개최/NNG,0.6058538166821413,98.0,224.0,322.0
109,영통/NNG,0.3692823263586386,4.0,15.0,19.0
110,순차/NNG,0.6820699684609182,33.0,67.0,100.0
111,임금/NNG;인상/NNG,0.3178249530135823,14.0,61.0,75.0
112,사외이사/NNG,0.4760279988216825,11.0,32.0,43.0
113,조달자금/NNG,0.3010453747488901,5.0,23.0,28.0
114,조작/NNG,0.6231639257302025,36.0,80.0,116.0
115,경기소비재/NNG,0.7501047254159846,26.0,48.0,74.0
116,사계/NNG,0.0261284664876395,1.0,53.0,54.0
117,석유공사/NNG,0.4913837407191561,11.0,31.0,42.0
118,구조화/NNG,0.5385367259396812,21.0,54.0,75.0
119,공통점/NNG,0.4830728106435679,15.0,43.0,58.0
120,해치/VV,0.7385646527172772,8.0,15.0,23.0
121,대차거래/NNG,0.3550791599602294,10.0,39.0,49.0
122,채권/NNG;금리/NNG;상승/NNG;압력/NNG,0.5252722745618565,11.0,29.0,40.0
123,골목/NNG,0.2637730902561704,4.0,21.0,25.0
124,고공행진/NNG,0.5973684691095624,22.0,51.0,73.0
125,도쿄/NNG,0.4147020777289523,56.0,187.0,243.0
126,글로벌/NNG;금리/NNG;인하/NNG,0.659432725640426,10.0,21.0,31.0
127,다연/NNG,0.5874946101160158,28.0,66.0,94.0
128,개발자/NNG,0.180627224849334,3.0,23.0,26.0
129,각기/MAG,0.6058538166821413,7.0,16.0,23.0
130,한쪽/NNG,0.7288466967604708,10.0,19.0,29.0
131,기대/NNG;크/VV,0.7180489679195748,28.0,54.0,82.0
132,중계/NNG,0.5807262390317299,13.0,31.0,44.0
133,가격/NNG;높/VA,0.7385646527172772,8.0,15.0,23.0
134,초과이익/NNG,0.0282614025274468,2.0,98.0,100.0
135,플랫/NNG,0.6370120129686514,23.0,50.0,73.0
136,진흥공단/NNG,0.153867635982766,5.0,45.0,50.0
137,판사/NNG,0.3077352719655321,6.0,27.0,33.0
138,핵보유국/NNG,0.5702153568773095,7.0,17.0,24.0
139,나무/NNG,0.2077213085767341,3.0,20.0,23.0
140,글로벌/NNG;금리/NNG;상승/NNG,0.5625785440619884,13.0,32.0,45.0
141,대출태도/NNG,0.6855488731905418,50.0,101.0,151.0
142,선도금리/NNG,0.6154705439310642,12.0,27.0,39.0
143,토론회/NNG,0.6647081874455493,36.0,75.0,111.0
144,신청/NNG,0.6213210243866827,354.0,789.0,1143.0
145,반작용/NNG,0.6274914529922179,29.0,64.0,93.0
146,실거주/NNG,0.659432725640426,10.0,21.0,31.0
147,스케일/NNG,0.5539234895379578,8.0,20.0,28.0
148,보광/NNG,0.6924043619224473,6.0,12.0,18.0
149,시행령/NNG,0.651674693574068,16.0,34.0,50.0
150,환급액/NNG,0.162918673393517,2.0,17.0,19.0
151,어찌/MAG,0.6924043619224473,19.0,38.0,57.0
152,상장폐지/NNG,0.7288466967604708,10.0,19.0,29.0
153,접속/NNG,0.7331340302708266,9.0,17.0,26.0
154,효율/NNG,0.7636812815321109,75.0,136.0,211.0
155,총합/NNG,0.6058538166821413,7.0,16.0,23.0
156,시추기/NNG,0.0814593366967585,1.0,17.0,18.0
157,브렌트유/NNG,0.5066373379920346,15.0,41.0,56.0
158,금리/NNG;인하/NNG;가능성/NNG;높/VA,0.2596516357209177,9.0,48.0,57.0
159,상속세/NNG,0.4327527262015295,15.0,48.0,63.0
160,상환금액/NNG,0.5665126597547296,9.0,22.0,31.0
161,무료/NNG,0.5385367259396812,28.0,72.0,100.0
162,튼튼/NNG,0.6924043619224471,7.0,14.0,21.0
163,매주/NNG,0.4091480320450825,13.0,44.0,57.0
164,국고채/NNG;스프레드/NNG;축소/NNG;압력/NNG,0.6924043619224473,6.0,12.0,18.0
165,공급계획/NNG,0.7553502130063061,6.0,11.0,17.0
166,국고채/NNG;금리/NNG;하락/NNG;금리/NNG;하락/NNG,0.1107846979075915,2.0,25.0,27.0
167,공급/NNG;감소/NNG,0.6058538166821413,7.0,16.0,23.0
