date,title,tone_doc,기준금리
2016-05-13,금융통화위원회 의사록(2016년도 제9차)(2016.5.13.),0.1578947368421052,1.5
2016-04-19,금융통화위원회 의사록(2016년도 제7차)(2016.4.19.),0.1379310344827586,1.5
2016-03-10,금융통화위원회 의사록(2016년도 제5차)(2016.3.10.),0.3157894736842105,1.5
2016-02-16,금융통화위원회 의사록(2016년도 제3차)(2016.2.16),0.0857142857142857,1.5
2016-01-14,금융통화위원회 의사록(2016년도 제1차)(2016.1.14.),0.1746031746031746,1.5
2015-12-10,금융통화위원회 의사록(2015년도 제23차)(2015.12.10.),0.0,1.5
2015-11-12,금융통화위원회 의사록(2015년도 제21차)(2015.11.12.),0.4705882352941176,1.5
2015-10-15,금융통화위원회 의사록(2015년도 제19차)(2015.10.15.),-0.2592592592592592,1.5
2015-09-11,금융통화위원회 의사록(2015년도 제17차)(2015.9.11.),0.0303030303030303,1.5
2015-08-13,금융통화위원회 의사록(2015년도 제15차)(2015.8.13.),0.3191489361702128,1.5
2015-07-09,금융통화위원회 의사록(2015년도 제13차)(2015.7.9.),-0.3714285714285714,1.5
2015-06-11,금융통화위원회 의사록(2015년도 제11차)(2015.6.11.),-0.0344827586206896,1.5
2015-05-15,금융통화위원회 의사록(2015년도 제9차)(2015.5.15.),0.0,1.75
2015-04-09,금융통화위원회 의사록(2015년도 제7차)(2015.4.9.),0.4444444444444444,1.75
2015-03-12,금융통화위원회 의사록(2015년도 제5차)(2015.3.12.),0.1707317073170731,1.75
2015-02-17,금융통화위원회 의사록(2015년도 제3차)(2015.2.17.),-0.1914893617021276,2.0
2015-01-15,금융통화위원회 의사록(2015년도 제1차)(2015.1.15.),0.088235294117647,2.0
2014-12-11,금융통화위원회 의사록(2014년도 제23차)(2014.12.11.),0.1525423728813559,2.0
2014-11-13,금융통화위원회 의사록(2014년도 제21차)(2014.11.13.),-0.0384615384615384,2.0
2014-10-15,금융통화위원회 의사록(2014년도 제19차)(2014.10.15.),0.0149253731343283,2.0
2014-09-12,금융통화위원회 의사록(2014년도 제17차)(2014.9.12.),-0.0909090909090909,2.25
2014-08-14,금융통화위원회 의사록(2014년도 제15차)(2014.8.14.),-0.037037037037037,2.25
2014-07-10,금융통화위원회 의사록(2014년도 제13차)(2014.7.10.),0.1864406779661017,2.5
2014-06-12,금융통화위원회 의사록(2014년도 제11차)(2014.6.12.),0.2352941176470588,2.5
2014-05-09,금융통화위원회 의사록(2014년도 제9차)(2014.5.9.),0.217391304347826,2.5
2014-04-10,금융통화위원회 의사록(2014년도 제7차)(2014.4.10.),0.3333333333333333,2.5
2014-03-13,금융통화위원회 의사록(2014년도 제5차)(2014.3.13.),0.125,2.5
