,words,polarity_score,count_up,count_down,total
97,롤오버/NNG,1.4142727392458496,48.0,47.0,95.0
98,부동산정책/NNG,2.30801453974149,15.0,9.0,24.0
99,바뀐다/VV,60.93158384917536,44.0,1.0,45.0
100,유난히/MAG,2.014267234683483,16.0,11.0,27.0
101,하락/NNG;축소/NNG,2.4234152667285653,14.0,8.0,22.0
102,미시/NNG,1.8028641876471267,69.0,53.0,122.0
103,급전/NNG,1.3848087238448945,16.0,16.0,32.0
104,글로벌/NNG;경기/NNG;회복/NNG,1.5232895962293842,33.0,30.0,63.0
105,이관/NNG,1.6235688486457385,34.0,29.0,63.0
106,개개/NNG,1.6617704686138732,12.0,10.0,22.0
107,나눠/VV,1.831521215407764,41.0,31.0,72.0
108,금리/NNG;인상/NNG;충격/NNG,1.5579098143255063,9.0,8.0,17.0
109,인선/NNG,1.5826385415370223,16.0,14.0,30.0
110,대외/NNG;불안/NNG,2.0772130857673416,12.0,8.0,20.0
111,스트레스/NNG,1.4913324718329637,84.0,78.0,162.0
112,경제/NNG;양호/NNG;성장/NNG,1.5579098143255063,9.0,8.0,17.0
113,개선/NNG;더디/VA,1.731010904806118,10.0,8.0,18.0
114,기준율/NNG,1.3848087238448945,12.0,12.0,24.0
115,경기/NNG;완만/NNG;회복/NNG,2.769617447689789,12.0,6.0,18.0
116,위험/NNG;크/VV,1.3848087238448945,19.0,19.0,38.0
117,고정비/NNG;부담/NNG,1.8002513409983627,13.0,10.0,23.0
118,버퍼/NNG,1.644460359565812,19.0,16.0,35.0
119,삽입/NNG,1.9387322133828528,21.0,15.0,36.0
120,제1금융권/NNG,1.4713592690852002,17.0,16.0,33.0
121,카드/NNG,1.986107248672283,436.0,304.0,740.0
122,신화/NNG,1.846411631793193,16.0,12.0,28.0
123,캡틴/NNG,24.9265570292081,18.0,1.0,19.0
124,유입자금/NNG,2.1401589368512006,17.0,11.0,28.0
125,금리/NNG;되돌/VV,1.5305780631969887,21.0,19.0,40.0
126,시장지배력/NNG,1.4713592690852002,17.0,16.0,33.0
127,손해율/NNG,3.659851627304364,111.0,42.0,153.0
128,흡수력/NNG,1.90411199528673,22.0,16.0,38.0
129,발표문/NNG,1.318865451280852,20.0,21.0,41.0
130,소비자동향조사/NNG,1.426772624567467,34.0,33.0,67.0
131,고용창출/NNG,1.5305780631969887,84.0,76.0,160.0
132,기시/NNG,6.370120129686514,23.0,5.0,28.0
133,채권/NNG;금리/NNG;상승/NNG,1.3052220155779464,82.0,87.0,169.0
134,소득/NNG;증가/NNG,1.7106460706319286,21.0,17.0,38.0
135,행순/NNG,2.9234850836725546,19.0,9.0,28.0
136,예상밖/NNG,1.3328783967007107,77.0,80.0,157.0
137,도발/NNG,1.9567949358677856,65.0,46.0,111.0
138,재협상/NNG,1.4045917056141073,71.0,70.0,141.0
139,경기민감업종/NNG,1.7624838303480477,42.0,33.0,75.0
140,투자/NNG;부담/NNG,1.62918673393517,20.0,17.0,37.0
141,문재/NNG,1.8464116317931925,12.0,9.0,21.0
142,바라/VV,1.4666383302539108,466.0,440.0,906.0
143,후순위채/NNG,1.8019197852439592,216.0,166.0,382.0
144,최종결제/NNG,2.0772130857673416,12.0,8.0,20.0
145,오퍼/NNG,1.90411199528673,11.0,8.0,19.0
146,단기성/NNG,2.53881599371564,77.0,42.0,119.0
147,유로3/NNG,1.5526643267351847,37.0,33.0,70.0
148,구속/NNG,1.3848087238448945,21.0,21.0,42.0
149,저하/NNG;추세/NNG,1.8109037157971697,17.0,13.0,30.0
150,금리/NNG;인상/NNG;어렵/VA,1.8464116317931925,24.0,18.0,42.0
151,치였/VV,1.3218628727610358,21.0,22.0,43.0
152,전략팀/NNG,2.53881599371564,11.0,6.0,17.0
153,오일허브/NNG,2.03874617677165,53.0,36.0,89.0
154,현역/NNG,1.3848087238448945,9.0,9.0,18.0
155,불균형/NNG,1.3687062968234422,170.0,172.0,342.0
156,기물/NNG,1.5107004260126122,24.0,22.0,46.0
157,채미/NNG,4.643182191715234,57.0,17.0,74.0
158,소매/NNG;판매/NNG;호조/NNG,1.3848087238448945,9.0,9.0,18.0
159,일중/NNG,1.4771293054345545,32.0,30.0,62.0
160,비지표물/NNG,1.8883755325157652,15.0,11.0,26.0
161,전강후약/NNG,2.192613812754416,57.0,36.0,93.0
162,외인/NNG,1.3154003642019003,1175.0,1237.0,2412.0
163,외생/NNG,1.817561450046424,21.0,16.0,37.0
164,원자재기업/NNG,5.539234895379578,16.0,4.0,20.0
165,금리/NNG;인상/NNG;부담/NNG,1.3848087238448947,11.0,11.0,22.0
166,잔존가치/NNG,6.093158384917536,22.0,5.0,27.0
167,합친/VV,2.0002792677759587,13.0,9.0,22.0
168,중중/NNG,1.577143268823352,41.0,36.0,77.0
169,불확실성/NNG;감소/NNG,2.3739578123055334,12.0,7.0,19.0
170,투자/NNG;모멘텀/NNG,1.523289596229384,11.0,10.0,21.0
171,모면/NNG,2.9080983200742785,21.0,10.0,31.0
172,신약/NNG,1.3848087238448947,29.0,29.0,58.0
173,가뜩이나/MAG,1.5386763598276605,10.0,9.0,19.0
174,경기/NNG;모멘텀/NNG;둔화/NNG,1.523289596229384,22.0,20.0,42.0
175,비금융사/NNG,4.500628352495907,13.0,4.0,17.0
176,보험회사/NNG,1.5445943458269975,29.0,26.0,55.0
177,원원/NNG,2.556569951713651,24.0,13.0,37.0
178,고갈/NNG,2.0772130857673416,18.0,12.0,30.0
179,이미/MAG;금리/NNG;인상/NNG,1.6156101778190437,14.0,12.0,26.0
180,환원/NNG,1.806272248493341,90.0,69.0,159.0
181,제조업/NNG;경기/NNG;회복/NNG,1.3848087238448945,9.0,9.0,18.0
182,관리감독/NNG,1.5002094508319692,13.0,12.0,25.0
183,국제/NNG;원자재/NNG;가격/NNG;상승/NNG,1.90411199528673,11.0,8.0,19.0
184,우대형/NNG,2.176127994613406,11.0,7.0,18.0
185,상담사/NNG,7.385646527172772,16.0,3.0,19.0
186,괴리율/NNG,2.895509149857507,23.0,11.0,34.0
187,디레버리징/NNG,1.3245996488951164,110.0,115.0,225.0
188,참가/NNG,1.3650257420756815,69.0,70.0,139.0
189,단기물/NNG;강세/NNG,1.426772624567467,34.0,33.0,67.0
190,우량등급/NNG,1.3674261875623228,472.0,478.0,950.0
191,에너지제외지수/NNG,1.3415334512247414,31.0,32.0,63.0
192,채권시장/NNG;금리/NNG;인상/NNG,2.215693958151831,16.0,10.0,26.0
193,의료보험/NNG,1.3848087238448945,13.0,13.0,26.0
194,집중도/NNG,3.981325081054072,23.0,8.0,31.0
195,주어진/VV,1.4913324718329632,14.0,13.0,27.0
196,재정위기/NNG;우려/NNG,3.0004189016639384,26.0,12.0,38.0
197,양당/NNG,1.563493720470042,35.0,31.0,66.0
198,흔하/VA,1.5386763598276605,10.0,9.0,19.0
199,자본/NNG;유출/NNG;우려/NNG,1.5386763598276605,10.0,9.0,19.0
200,배당수익률/NNG,1.4177803601269157,86.0,84.0,170.0
201,상호기금/NNG,2.3739578123055334,12.0,7.0,19.0
202,정식/NNG,3.5609367184583003,18.0,7.0,25.0
203,고정자산/NNG,1.5487992306160006,85.0,76.0,161.0
204,수입/NNG;감소/NNG,1.6925439958104267,22.0,18.0,40.0
205,채권시장/NNG;우려/NNG,3.3235409372277465,12.0,5.0,17.0
206,개방/NNG,1.3141552175262772,93.0,98.0,191.0
207,맹점/NNG,3.0292690834107066,35.0,16.0,51.0
208,영역/NNG,1.3000910136802657,399.0,425.0,824.0
209,정책위/NNG,1.3848087238448945,23.0,23.0,46.0
210,채산성/NNG,1.5579098143255063,18.0,16.0,34.0
211,겹친/VV,1.5386763598276605,10.0,9.0,19.0
212,고용자/NNG,1.3119240541688475,18.0,19.0,37.0
213,점유/NNG,1.5107004260126122,12.0,11.0,23.0
214,글로벌/NNG;경기/NNG;개선/NNG,1.3245996488951166,22.0,23.0,45.0
215,변액/NNG,2.275042903459469,23.0,14.0,37.0
216,리더십/NNG,1.318865451280852,20.0,21.0,41.0
217,자산/NNG;성장/NNG,2.769617447689789,18.0,9.0,27.0
218,택하/VV,1.5386763598276605,10.0,9.0,19.0
219,수익증권/NNG,2.5178340433543536,40.0,22.0,62.0
220,정부규제/NNG,1.3848087238448945,13.0,13.0,26.0
221,파견/NNG,1.3848087238448947,11.0,11.0,22.0
222,자본이익/NNG,1.3848087238448947,11.0,11.0,22.0
223,역내외/NNG,4.500628352495907,13.0,4.0,17.0
224,지급보증/NNG,1.3848087238448945,46.0,46.0,92.0
225,유가상승/NNG,1.6777490308120837,63.0,52.0,115.0
226,깊이/NNG,1.90411199528673,22.0,16.0,38.0
227,내수/NNG;부진/NNG,1.3848087238448945,34.0,34.0,68.0
228,환매/NNG,1.620520847052536,165.0,141.0,306.0
229,rqfii/NNG,5.3084334414054295,23.0,6.0,29.0
230,천호/NNG,1.5232895962293842,33.0,30.0,63.0
231,진화/NNG,1.4425090873384316,25.0,24.0,49.0
232,메디케어/NNG,2.3541748305363206,17.0,10.0,27.0
233,재고자산/NNG,1.5579098143255063,9.0,8.0,17.0
234,고용증감/NNG,1.36907226107393,87.0,88.0,175.0
235,노호/NNG,2.844471973303026,152.0,74.0,226.0
236,세심/NNG,1.3848087238448945,12.0,12.0,24.0
237,남북경협/NNG,1.6156101778190437,14.0,12.0,26.0
238,솔직히/MAG,2.014267234683483,16.0,11.0,27.0
239,몰락/NNG,1.8883755325157652,15.0,11.0,26.0
240,수산금융채권/NNG,1.523289596229384,11.0,10.0,21.0
241,기모/NNG,2.4234152667285658,42.0,24.0,66.0
242,독립/NNG,1.6523285909512946,105.0,88.0,193.0
243,북클로징/NNG,1.5325216543883498,83.0,75.0,158.0
244,손실/NNG;위험/NNG,1.3848087238448945,9.0,9.0,18.0
245,방정식/NNG,2.596516357209177,15.0,8.0,23.0
246,화폐발행액/NNG,5.193032714418354,15.0,4.0,19.0
247,간헐/NNG,1.3848087238448947,11.0,11.0,22.0
248,후순위/NNG,1.4913324718329632,70.0,65.0,135.0
249,자치/NNG,1.846411631793193,20.0,15.0,35.0
250,대칭/NNG,1.6763474025490828,23.0,19.0,42.0
251,고용/NNG;여건/NNG;개선/NNG,2.250314176247953,13.0,8.0,21.0
252,가이드/NNG,1.90411199528673,11.0,8.0,19.0
253,과도/NNG;스프레드/NNG;축소/NNG,4.846830533457131,14.0,4.0,18.0
254,신용카드사/NNG,1.4450177987946724,24.0,23.0,47.0
255,거둘/VV,2.117942754115721,26.0,17.0,43.0
256,기민/NNG,1.5386763598276605,10.0,9.0,19.0
257,상술/NNG,1.90411199528673,11.0,8.0,19.0
258,이동평균/NNG,1.6655131948945352,178.0,148.0,326.0
259,pf/NNG;위험/NNG,1.3848087238448945,10.0,10.0,20.0
260,농촌/NNG,3.758766536150428,38.0,14.0,52.0
261,소액/NNG,1.4558245558369405,41.0,39.0,80.0
262,매직/NNG,1.926690398392897,32.0,23.0,55.0
263,흥분/NNG,1.3848087238448945,10.0,10.0,20.0
264,간주/NNG,1.47320077004776,50.0,47.0,97.0
265,시니어론/NNG,2.1888912086580588,98.0,62.0,160.0
266,통화정책/NNG;경계/NNG,1.9782981769212775,20.0,14.0,34.0
267,진폭/NNG,2.9080983200742785,21.0,10.0,31.0
268,자사주/NNG,1.367498614796833,79.0,80.0,159.0
269,근로시간/NNG,1.992773529435336,59.0,41.0,100.0
270,태세/NNG,1.5579098143255063,9.0,8.0,17.0
271,장기영역/NNG,1.5741842758236837,133.0,117.0,250.0
272,근원/NNG;물가/NNG;상승/NNG,1.7624838303480477,14.0,11.0,25.0
273,지루/NNG,2.4500462037255826,23.0,13.0,36.0
274,소비/NNG;증가/NNG,1.3848087238448945,26.0,26.0,52.0
275,입성/NNG,2.0002792677759587,13.0,9.0,22.0
276,총고정자본형성/NNG,2.0772130857673416,12.0,8.0,20.0
277,과반수/NNG,2.176127994613406,22.0,14.0,36.0
278,직접금융/NNG,2.9882714567179303,41.0,19.0,60.0
279,투자심리/NNG;약화/NNG,2.031052794972512,22.0,15.0,37.0
280,원화자산/NNG,2.550963438661648,35.0,19.0,54.0
281,정량/NNG,1.3245996488951166,22.0,23.0,45.0
282,해빙/NNG,1.5386763598276605,10.0,9.0,19.0
283,숙박업/NNG,1.6511180938150665,31.0,26.0,57.0
284,상호/NNG,1.4531943398372351,85.0,81.0,166.0
285,자산/NNG;증가/NNG,1.846411631793193,16.0,12.0,28.0
286,규제가격/NNG,3.3235409372277465,24.0,10.0,34.0
287,교외/NNG,6.093158384917536,22.0,5.0,27.0
288,순서/NNG,1.5415795227707316,59.0,53.0,112.0
289,대각선/NNG,1.3848087238448945,13.0,13.0,26.0
290,최상위/NNG,1.4934211727739055,55.0,51.0,106.0
291,기대/NNG;낮/VV,1.681553450383086,17.0,14.0,31.0
292,여행지/NNG,33.235409372277466,24.0,1.0,25.0
293,금전/NNG,1.5107004260126122,12.0,11.0,23.0
294,회사채신속인수제/NNG,4.673729442976518,27.0,8.0,35.0
295,현물환/NNG,1.4142727392458496,48.0,47.0,95.0
296,준다/VV,1.3848087238448945,24.0,24.0,48.0
297,불확실성/NNG;해소/NNG,1.4861361914433016,44.0,41.0,85.0
298,인수금액/NNG,2.014267234683483,16.0,11.0,27.0
299,주택담보대출/NNG;증가/NNG,1.3848087238448947,11.0,11.0,22.0
300,하반/NNG,3.0706628224386794,51.0,23.0,74.0
301,가산/NNG,1.7225669491729176,51.0,41.0,92.0
302,내수주/NNG,3.692823263586386,16.0,6.0,22.0
303,바짝/MAG,1.3848087238448945,10.0,10.0,20.0
