words,count_up,count_down,total,polarity_score
글로벌/NNG;경기/NNG;회복/NNG,33.0,30.0,63.0,1.5232895962293842
이관/NNG,34.0,29.0,63.0,1.6235688486457385
개개/NNG,12.0,10.0,22.0,1.6617704686138732
나눠/VV,41.0,31.0,72.0,1.831521215407764
금리/NNG;인상/NNG;충격/NNG,9.0,8.0,17.0,1.5579098143255063
인선/NNG,16.0,14.0,30.0,1.5826385415370223
대외/NNG;불안/NNG,12.0,8.0,20.0,2.0772130857673416
스트레스/NNG,84.0,78.0,162.0,1.4913324718329637
경제/NNG;양호/NNG;성장/NNG,9.0,8.0,17.0,1.5579098143255063
개선/NNG;더디/VA,10.0,8.0,18.0,1.731010904806118
기준율/NNG,12.0,12.0,24.0,1.3848087238448945
경기/NNG;완만/NNG;회복/NNG,12.0,6.0,18.0,2.769617447689789
위험/NNG;크/VV,19.0,19.0,38.0,1.3848087238448945
고정비/NNG;부담/NNG,13.0,10.0,23.0,1.8002513409983627
버퍼/NNG,19.0,16.0,35.0,1.644460359565812
삽입/NNG,21.0,15.0,36.0,1.9387322133828528
제1금융권/NNG,17.0,16.0,33.0,1.4713592690852002
카드/NNG,436.0,304.0,740.0,1.986107248672283
신화/NNG,16.0,12.0,28.0,1.846411631793193
캡틴/NNG,18.0,1.0,19.0,24.9265570292081
유입자금/NNG,17.0,11.0,28.0,2.1401589368512006
금리/NNG;되돌/VV,21.0,19.0,40.0,1.5305780631969887
시장지배력/NNG,17.0,16.0,33.0,1.4713592690852002
손해율/NNG,111.0,42.0,153.0,3.659851627304364
흡수력/NNG,22.0,16.0,38.0,1.90411199528673
발표문/NNG,20.0,21.0,41.0,1.318865451280852
소비자동향조사/NNG,34.0,33.0,67.0,1.426772624567467
고용창출/NNG,84.0,76.0,160.0,1.5305780631969887
기시/NNG,23.0,5.0,28.0,6.370120129686514
채권/NNG;금리/NNG;상승/NNG,82.0,87.0,169.0,1.3052220155779464
소득/NNG;증가/NNG,21.0,17.0,38.0,1.7106460706319286
행순/NNG,19.0,9.0,28.0,2.9234850836725546
예상밖/NNG,77.0,80.0,157.0,1.3328783967007107
도발/NNG,65.0,46.0,111.0,1.9567949358677856
재협상/NNG,71.0,70.0,141.0,1.4045917056141073
경기민감업종/NNG,42.0,33.0,75.0,1.7624838303480477
투자/NNG;부담/NNG,20.0,17.0,37.0,1.62918673393517
문재/NNG,12.0,9.0,21.0,1.8464116317931925
바라/VV,466.0,440.0,906.0,1.4666383302539108
후순위채/NNG,216.0,166.0,382.0,1.8019197852439592
최종결제/NNG,12.0,8.0,20.0,2.0772130857673416
오퍼/NNG,11.0,8.0,19.0,1.90411199528673
단기성/NNG,77.0,42.0,119.0,2.53881599371564
유로3/NNG,37.0,33.0,70.0,1.5526643267351847
구속/NNG,21.0,21.0,42.0,1.3848087238448945
저하/NNG;추세/NNG,17.0,13.0,30.0,1.8109037157971697
금리/NNG;인상/NNG;어렵/VA,24.0,18.0,42.0,1.8464116317931925
치였/VV,21.0,22.0,43.0,1.3218628727610358
전략팀/NNG,11.0,6.0,17.0,2.53881599371564
오일허브/NNG,53.0,36.0,89.0,2.03874617677165
현역/NNG,9.0,9.0,18.0,1.3848087238448945
불균형/NNG,170.0,172.0,342.0,1.3687062968234422
기물/NNG,24.0,22.0,46.0,1.5107004260126122
채미/NNG,57.0,17.0,74.0,4.643182191715234
소매/NNG;판매/NNG;호조/NNG,9.0,9.0,18.0,1.3848087238448945
일중/NNG,32.0,30.0,62.0,1.4771293054345545
비지표물/NNG,15.0,11.0,26.0,1.8883755325157652
전강후약/NNG,57.0,36.0,93.0,2.192613812754416
외인/NNG,1175.0,1237.0,2412.0,1.3154003642019003
외생/NNG,21.0,16.0,37.0,1.817561450046424
원자재기업/NNG,16.0,4.0,20.0,5.539234895379578
금리/NNG;인상/NNG;부담/NNG,11.0,11.0,22.0,1.3848087238448947
잔존가치/NNG,22.0,5.0,27.0,6.093158384917536
합친/VV,13.0,9.0,22.0,2.0002792677759587
중중/NNG,41.0,36.0,77.0,1.577143268823352
불확실성/NNG;감소/NNG,12.0,7.0,19.0,2.3739578123055334
투자/NNG;모멘텀/NNG,11.0,10.0,21.0,1.523289596229384
모면/NNG,21.0,10.0,31.0,2.9080983200742785
신약/NNG,29.0,29.0,58.0,1.3848087238448947
가뜩이나/MAG,10.0,9.0,19.0,1.5386763598276605
경기/NNG;모멘텀/NNG;둔화/NNG,22.0,20.0,42.0,1.523289596229384
비금융사/NNG,13.0,4.0,17.0,4.500628352495907
보험회사/NNG,29.0,26.0,55.0,1.5445943458269975
원원/NNG,24.0,13.0,37.0,2.556569951713651
고갈/NNG,18.0,12.0,30.0,2.0772130857673416
이미/MAG;금리/NNG;인상/NNG,14.0,12.0,26.0,1.6156101778190437
환원/NNG,90.0,69.0,159.0,1.806272248493341
제조업/NNG;경기/NNG;회복/NNG,9.0,9.0,18.0,1.3848087238448945
관리감독/NNG,13.0,12.0,25.0,1.5002094508319692
국제/NNG;원자재/NNG;가격/NNG;상승/NNG,11.0,8.0,19.0,1.90411199528673
우대형/NNG,11.0,7.0,18.0,2.176127994613406
상담사/NNG,16.0,3.0,19.0,7.385646527172772
괴리율/NNG,23.0,11.0,34.0,2.895509149857507
디레버리징/NNG,110.0,115.0,225.0,1.3245996488951164
참가/NNG,69.0,70.0,139.0,1.3650257420756815
단기물/NNG;강세/NNG,34.0,33.0,67.0,1.426772624567467
우량등급/NNG,472.0,478.0,950.0,1.3674261875623228
에너지제외지수/NNG,31.0,32.0,63.0,1.3415334512247414
채권시장/NNG;금리/NNG;인상/NNG,16.0,10.0,26.0,2.215693958151831
의료보험/NNG,13.0,13.0,26.0,1.3848087238448945
집중도/NNG,23.0,8.0,31.0,3.981325081054072
주어진/VV,14.0,13.0,27.0,1.4913324718329632
재정위기/NNG;우려/NNG,26.0,12.0,38.0,3.0004189016639384
양당/NNG,35.0,31.0,66.0,1.563493720470042
흔하/VA,10.0,9.0,19.0,1.5386763598276605
자본/NNG;유출/NNG;우려/NNG,10.0,9.0,19.0,1.5386763598276605
배당수익률/NNG,86.0,84.0,170.0,1.4177803601269157
상호기금/NNG,12.0,7.0,19.0,2.3739578123055334
정식/NNG,18.0,7.0,25.0,3.5609367184583003
고정자산/NNG,85.0,76.0,161.0,1.5487992306160006
수입/NNG;감소/NNG,22.0,18.0,40.0,1.6925439958104267
채권시장/NNG;우려/NNG,12.0,5.0,17.0,3.3235409372277465
개방/NNG,93.0,98.0,191.0,1.3141552175262772
맹점/NNG,35.0,16.0,51.0,3.0292690834107066
영역/NNG,399.0,425.0,824.0,1.3000910136802657
정책위/NNG,23.0,23.0,46.0,1.3848087238448945
채산성/NNG,18.0,16.0,34.0,1.5579098143255063
겹친/VV,10.0,9.0,19.0,1.5386763598276605
고용자/NNG,18.0,19.0,37.0,1.3119240541688475
점유/NNG,12.0,11.0,23.0,1.5107004260126122
글로벌/NNG;경기/NNG;개선/NNG,22.0,23.0,45.0,1.3245996488951166
변액/NNG,23.0,14.0,37.0,2.275042903459469
리더십/NNG,20.0,21.0,41.0,1.318865451280852
자산/NNG;성장/NNG,18.0,9.0,27.0,2.769617447689789
택하/VV,10.0,9.0,19.0,1.5386763598276605
수익증권/NNG,40.0,22.0,62.0,2.5178340433543536
정부규제/NNG,13.0,13.0,26.0,1.3848087238448945
파견/NNG,11.0,11.0,22.0,1.3848087238448947
자본이익/NNG,11.0,11.0,22.0,1.3848087238448947
역내외/NNG,13.0,4.0,17.0,4.500628352495907
지급보증/NNG,46.0,46.0,92.0,1.3848087238448945
